source,target,weight,weight_norm,weight_rank_pct,metric
ACAd1_Right,PIR_Right,135525.25,1.0,1.0,length_um
ACAv5_Right,BLAa_Right,94246.36,1.0,1.0,length_um
ACB_Left,AIv5_Right,17288.838,1.0,1.0,length_um
ACB_Right,CP_Right,120116.754,0.3548165599620271,1.0,length_um
ACB_Right,VISC1_Right,90839.91,0.2683347934415556,0.9818181818181818,length_um
ACB_Right,alv_Right,78255.54,0.2311614373193169,0.9636363636363636,length_um
ACB_Right,ORBm2/3_Left,49319.78,0.14568720927710038,0.9454545454545454,length_um
AId5_Right,ORBl1_Left,418161.1,0.5474966639792056,1.0,length_um
AId5_Right,AON_Left,345608.12,0.45250333602079434,0.9818181818181818,length_um
AId6a_Right,OLF_Left,336040.5,1.0,1.0,length_um
AIv6a_Right,CP_Left,387694.25,1.0,1.0,length_um
APr_Right,PR_Left,68315.805,1.0,1.0,length_um
CA1_Left,PIR_Right,598268.32,1.0,1.0,length_um
CA1_Right,ACB_Left,86491.47,1.0,1.0,length_um
CP_Left,PIR_Right,132567.03,0.42038497719026646,1.0,length_um
CP_Left,VISC5_Right,109347.09,0.34675193323311243,0.9818181818181818,length_um
CP_Left,CP_Right,55797.824,0.17694118190251756,0.9636363636363636,length_um
CP_Left,AIv5_Right,17634.791,0.05592190767410356,0.9454545454545454,length_um
CP_Right,VMH_Left,128427.09,0.277070450895183,1.0,length_um
CP_Right,SSs4_Right,104307.484,0.22503446604312288,0.9818181818181818,length_um
CP_Right,SSs5_Right,94513.555,0.20390490277056558,0.9636363636363636,length_um
CP_Right,CA1_Right,73511.47,0.1585947025574411,0.9454545454545454,length_um
CP_Right,SI_Left,40209.195,0.08674789554744515,0.9272727272727272,length_um
CP_Right,PAL_Left,22549.021,0.048647582186242405,0.9090909090909091,length_um
DG-mo_Left,PIR_Right,49690.996,1.0,1.0,length_um
DG-po_Left,CP_Right,143566.64,1.0,1.0,length_um
FS_Right,SF_Right,22442.338,1.0,1.0,length_um
GPe_Left,PIR_Right,40379.953,1.0,1.0,length_um
GPe_Right,ACB_Right,104662.195,1.0,1.0,length_um
GPi_Right,AIv2/3_Right,29595.865,1.0,1.0,length_um
GU2/3_Right,AD_Right,97986.65,1.0,1.0,length_um
MOB_Right,AId2/3_Right,19170.19,1.0,1.0,length_um
MOp6a_Left,EPv_Right,139444.19,1.0,1.0,length_um
MOs5_Left,PIR_Right,116508.84,1.0,1.0,length_um
MPO_Right,SSp-n2/3_Right,18569.459,1.0,1.0,length_um
MS_Left,SSs2/3_Right,43777.39,1.0,1.0,length_um
MS_Right,CP_Right,28061.332,1.0,1.0,length_um
ORBm6a_Left,PIR_Right,14124.489,1.0,1.0,length_um
PR_Left,SSs6b_Right,87898.18,1.0,1.0,length_um
RSPv1_Right,PIR_Right,121041.76,1.0,1.0,length_um
SNr_Left,CP_Right,73239.36,1.0,1.0,length_um
SSp-bfd5_Left,CP_Right,58502.793,1.0,1.0,length_um
SSp-ul5_Right,PIR_Right,46085.145,1.0,1.0,length_um
SSs5_Right,PO_Right,173620.58,1.0,1.0,length_um
SSs6a_Right,SI_Right,95288.53,1.0,1.0,length_um
STN_Right,MB_Left,450718.84,1.0,1.0,length_um
VISal5_Right,LPO_Right,66499.734,1.0,1.0,length_um
VM_Left,PAL_Right,16020.617,1.0,1.0,length_um
VPM_Left,SSs6a_Right,46206.668,1.0,1.0,length_um
VPM_Right,SCig_Left,101232.25,1.0,1.0,length_um
VTA_Right,SSs5_Right,51292.844,1.0,1.0,length_um
fi_Left,fi_Right,53051.09,1.0,1.0,length_um
fi_Right,DMH_Right,105798.55,1.0,1.0,length_um
int_Right,ml_Left,292818.66,1.0,1.0,length_um
or_Left,PIR_Right,51704.58,1.0,1.0,length_um
rust_Left,int_Right,40333.316,1.0,1.0,length_um
