source,target,weight,weight_norm,weight_rank_pct,metric
GPi_Right,MB_Left,476459.9776611328,0.21356855830001226,1.0,length_um
GPi_Right,SSp-bfd6b_Left,416538.8085327149,0.18670947610547572,0.8888888888888888,length_um
GPi_Right,root_Right,336686.7005004883,0.1509165440876085,0.7777777777777778,length_um
GPi_Right,SSp-bfd5_Left,328749.48462677,0.14735876414691512,0.6666666666666667,length_um
GPi_Right,RSPagl1_Right,213616.64837646484,0.09575158830043291,0.5555555555555556,length_um
GPi_Right,CP_Right,120116.76013183594,0.05384117132975563,0.4444444444444444,length_um
GPi_Right,DMH_Right,105798.54357910156,0.04742316979769473,0.33333333333333337,length_um
GPi_Right,MOp1_Left,98251.59790039062,0.04404032468217668,0.2222222222222222,length_um
GPi_Right,BLAa_Right,94246.35473632812,0.04224501332698416,0.11111111111111116,length_um
GPi_Right,SSp-m4_Right,40481.389892578125,0.018145389922944326,0.0,length_um
