source,target,weight,weight_norm,weight_rank_pct,metric
GPi_Left,root_Right,369042.49554634094,0.32691443018559446,1.0,length_um
GPi_Left,PIR_Right,246877.79893493652,0.21869545089870004,0.8571428571428572,length_um
GPi_Left,CP_Right,143566.6290512085,0.12717777301082905,0.7142857142857143,length_um
GPi_Left,STR_Left,115871.9642944336,0.10264459415634875,0.5714285714285714,length_um
GPi_Left,SSs6b_Right,87898.17993164062,0.07786415860905875,0.4285714285714286,length_um
GPi_Left,SSp-n4_Right,63601.14046478272,0.056340748952006574,0.2857142857142857,length_um
GPi_Left,scp_Right,58230.12506103516,0.05158286209229749,0.1428571428571429,length_um
GPi_Left,SSs2/3_Right,43777.39263916016,0.03877998209516492,0.0,length_um
