source,target,weight,fraction,rank
STN_Right,root_Right,536311.8629302979,0.14331079983119913,1
STN_Right,SSp-bfd5_Left,471538.693069458,0.12600241002672913,2
STN_Right,MB_Left,450718.8845214844,0.12043903613632104,3
STN_Right,nst_Right,213657.27532958984,0.05709251861396494,4
STN_Right,PO_Right,173620.5810546875,0.04639409652838235,5
STN_Right,MD_Right,163051.12530517578,0.04356977496859643,6
STN_Right,CP_Right,157506.4732055664,0.042088158427729366,7
STN_Right,SSs5_Right,145806.40048217773,0.03896171857814143,8
STN_Right,PIR_Right,135525.23400878906,0.036214432358424656,9
STN_Right,VL_Right,133953.4952392578,0.03579443952262102,10
STN_Right,CA1_Right,133246.20977783203,0.035605441940818355,11
STN_Right,GU6a_Left,129270.1986694336,0.034542990461619266,12
STN_Right,ZI_Right,121676.52616882324,0.032513844073223816,13
STN_Right,CA1_Left,106155.94659423828,0.028366505879873764,14
STN_Right,DMH_Right,105798.54357910156,0.028271002282989906,15
STN_Right,SCig_Left,101232.25247192384,0.027050818885859307,16
STN_Right,SI_Right,95288.53436279295,0.025462565753555513,17
STN_Right,BLAa_Right,94246.35473632812,0.0251840792867069,18
STN_Right,ACB_Right,85627.94091796875,0.02288110621645456,19
STN_Right,SSs2/3_Right,58056.09915161133,0.01551348493213946,20
STN_Right,ORBm2/3_Left,49319.77966308594,0.01317900564868534,21
STN_Right,SSp-m4_Right,40481.389892578125,0.010817251611937542,22
STN_Right,SI_Left,40209.19909667969,0.0107445180340268,23
