source,target,weight,fraction,rank
GPi_Right,MB_Left,476459.9776611328,0.21356855830001226,1
GPi_Right,SSp-bfd6b_Left,416538.8085327149,0.18670947610547572,2
GPi_Right,root_Right,336686.7005004883,0.1509165440876085,3
GPi_Right,SSp-bfd5_Left,328749.48462677,0.14735876414691512,4
GPi_Right,RSPagl1_Right,213616.64837646484,0.09575158830043291,5
GPi_Right,CP_Right,120116.76013183594,0.05384117132975563,6
GPi_Right,DMH_Right,105798.54357910156,0.04742316979769473,7
GPi_Right,MOp1_Left,98251.59790039062,0.04404032468217668,8
GPi_Right,BLAa_Right,94246.35473632812,0.04224501332698416,9
GPi_Right,SSp-m4_Right,40481.389892578125,0.018145389922944326,10
